title,Rera registered,property_type,total_units,possession_status,Price,Location,Builder,Min Price,Max Price,Average Price
Santosh Shantiniketan 1,No,2 BHK  Apartment,,Completed Projects,None,Paldi,Santosh Associates,,,
Santosh Shantinagar 1,No,"1, 2 BHK  Apartment",263,Completed Projects,10.65 - 18.40 Lac,Vejalpur,Santosh Associates,10.65,18.4,14.524999999999999
Santosh Shanti Complex,No,1 BHK  Apartment,130,Completed Projects,None,Vejalpur,Santosh Associates,,,
Goyal Green County,No,Residential Plot,,Completed Projects,None,Sanathal,Goyal Properties,,,
Arise Arise Florus,No,"3, 4 BHK  Apartment",97,Ongoing Projects,68.19 - 91.44 Lac,Ognaj,Arise Group,68.19,91.44,79.815
Greenera Panchi,No,Residential Plot,,Ongoing Projects,10.87 Lac,Dholera,Greenera INFRAWELL Pvt Ltd,10.87,10.87,10.87
Greenera Gardenvilla,No,Residential Plot,,Ongoing Projects,16.11 - 38.61 Lac,Dholera,Greenera INFRAWELL Pvt Ltd,16.11,38.61,27.36
Simandhar Simandhar Status,No,"2, 3 BHK  Apartment",88,Completed Projects,None,Gota,Simandhar Developers,,,
Simandhar Metro,No,2 BHK  Apartment,150,Completed Projects,None,Gota,Simandhar Developers,,,
Simandhar Simandhar Homes,No,"1, 2 BHK  Apartment",44,Completed Projects,None,Gota,Simandhar Developers,,,
Simandhar Simandhar Silver,No,"1, 2 BHK  Apartment",20,Completed Projects,16.45 - 27.03 Lac,Thaltej,Simandhar Developers,16.45,27.03,21.740000000000002
Aagam 9,No,"1, 2 BHK  Apartment",256,Completed Projects,None,Mandal,Aagam Group,,,
Simandhar Residancy,No,2 BHK  Apartment,36,Completed Projects,None,Thaltej,Simandhar Developers,,,
Merlin Sapphire,No,4 BHK  Apartment,5,Completed Projects,None,Gulbai Tekra,Merlin Group,,,
Merlin Sparsh,No,2 BHK  Apartment,169,Completed Projects,20.62 Lac,Narol,Merlin Group,20.62,20.62,20.62
Bhavya Royal Homes,Yes,"2, 3 BHK  Apartment",259,Completed Projects,35.62 - 49.01 Lac,Gota,Bhavya Buildcon,35.62,49.01,42.315
Arista Eminence 14,Yes,4 BHK  Apartment,14,Completed Projects,2.50 Cr.,Thaltej,Arista Buildcon,250.0,250.0,250.0
Advance Le Jardin,Yes,"3, 4 BHK  Apartment",166,Completed Projects,1.68 - 2.38 Cr.,Law Garden,Advance Group,168.0,238.0,203.0
Vishwanath Sarathya,Yes,3 BHK  Apartment,260,Completed Projects,55.97 Lac,Shela,Kapila Infrastructure,55.97,55.97,55.97
Aaryan Opulence,Yes,"3, 4 BHK  Apartment",80,Completed Projects,2.46 Cr.,Ambli,Aaryan Developers,246.0,246.0,246.0
